Wrong,Type,Right,List
john,~~,john,"['oh', 'john', 'job', 'hon', 'jin', 'gon', 'on', 'in', 'joy', 'join']"
john,~~,john,"['oh', 'john', 'job', 'hon', 'jin', 'gon', 'on', 'in', 'joy', 'join']"
john,~~,john,"['in', 'john', 'on', 'hon', 'jin', 'job', 'gon', 'join', 'joy', 'ginn']"
john,~~,john,"['in', 'john', 'on', 'hon', 'jin', 'job', 'gon', 'join', 'joy', 'ginn']"
john,~~,john,"['in', 'john', 'hon', 'jin', 'job', 'gon', 'join', 'joy', 'ginn', 'hog']"
john,~~,john,"['him', 'john', 'hon', 'jin', 'job', 'gon', 'join', 'joy', 'ginn', 'hog']"
john,~~,john,"['in', 'john', 'hon', 'jin', 'job', 'him', 'gon', 'join', 'joy', 'ginn']"
john,~~,john,"['in', 'john', 'hon', 'jin', 'job', 'gon', 'join', 'joy', 'ginn', 'hog']"
john,~~,john,"['in', 'john', 'hon', 'jin', 'job', 'gon', 'join', 'joy', 'ginn', 'hog']"
john,~~,john,"['jig', 'ion', 'man', 'john', 'job', 'gin', 'horn', 'in', 'hon', 'jin']"
john,~~,john,"['him', 'john', 'joy', 'hon', 'jin', 'job', 'gon', 'join', 'ginn', 'hog']"
john,~~,john,"['man', 'in', 'john', 'on', 'hon', 'jin', 'job', 'gon', 'join', 'joy']"
john,~~,john,"['in', 'john', 'hon', 'jin', 'job', 'gon', 'join', 'joy', 'ginn', 'hog']"
june,~~,june,"['and', 'in', 'june', 'kine', 'hone', 'gone', 'hue', 'jin', 'jub', 'gun']"
just,~~,just,"['cast', 'got', 'hit', 'lost', 'just', 'jist', 'gust', 'jest', 'us', 'hist']"
just,~~,just,"['hit', 'got', 'is', 'get', 'just', 'iust', 'has', 'kid', 'shut', 'cast']"
just,~~,just,"['at', 'just', 'jist', 'gust', 'jest', 'hist', 'juste', 'joust', 'kist', 'gist']"
kill,~~,kill,"['sell', 'kill', 'kilo', 'kil', 'kills', 'lull', 'till', 'will', 'cull', 'cell']"
lad,~~,lad,"['and', 'red', 'lad', 'led', 'lac', 'lady', 'land', 'laid', 'lade', 'lads']"
lame,~~,lame,"['come', 'and', 'one', 'lame', 'lane', 'lama', 'an', 'lone', 'lana', 'lake']"
landed,~~,landed,"['wanted', 'landed', 'planted', 'landes', 'lanced', 'laded', 'glanced', 'lances', 'leaned', 'lands']"
lap,~~,lap,"['of', 'lap', 'lop', 'lapt', 'la', 'lamp', 'laps', 'leap', 'lof', 'lisp']"
lay,~~,lay,"['at', 'a', 's', 'lay', 'lady', 'lst', 'layn', 'lays', 'la', 'ly']"
lay,~~,lay,"['play', 'day', 'say', 'put', 'a', 'let', 'lay', 'pay', 'eat', 'love']"
lb,~~,lb,"['on', 'lb', 'by', 'no', 'ln', 'l', 'lob', 'lbs', 'lbo', 'lb.']"
lent,~~,lent,"['went', 'lent', 'lint', 'lend', 'let', 'leant', 'limt', 'land', 'and', 'left']"
let,~~,let,"['learn', 'fly', 'get', 'put', 'let', 'pay', 'set', 'cut', 'led', 'lit']"
let,~~,let,"['get', 'let', 'led', 'lit', 'play', 'ldt', 'leg', 'ker', 'key', 'leth']"
lie,~~,lie,"['slew', 'lie', 'lue', 'loe', 'liu', 'lee', 'lye', 'lid', 'lice', 'like']"
lies,~~,lies,"['is', 'lies', 'knows', 'lied', 'lyes', 'lees', 'lids', 'lives', 'liers', 'liues']"
life,~~,life,"['of', 'love', 'life', 'live', 'lire', 'liefe', 'lifer', 'lie', 'lice', 'lope']"
life,~~,life,"['of', 'love', 'life', 'live', 'lire', 'liefe', 'lifer', 'lie', 'lice', 'lope']"
liked,~~,liked,"['like', 'liked', 'likes', 'likee', 'kikes', 'linked', 'licked', 'lied', 'looked', 'liued']"
lived,~~,lived,"['lives', 'lived', 'loved', 'livid', 'live', 'lied', 'loves', 'liver', 'lice', 'levee']"
lives,~~,lives,"['lived', 'lives', 'live', 'loves', 'loved', 'dived', 'livers', 'lies', 'lobes', 'livest']"
loft,~~,loft,"['lip', 'lid', 'lady', 'lot', 'left', 'of', 'or', 'loft', 'pot', 'lt']"
long,~~,long,"['along', 'long', 'lung', 'king', 'longs', 'long-', 'log', 'lint', 'konga', 'lying']"
lot,~~,lot,"['or', 'spot', 'liar', 'but', 'of', 'flat', 'lot', 'good', 'out', 'lad']"
lot,~~,lot,"['hat', 'mood', 'old', 'lot', 'lit', 'log', 'kit', 'lots', 'loth', 'lost']"
lot,~~,lot,"['at', 'of', 'our', 'lot', 'lit', 'log', 'kit', 'lots', 'loth', 'lost']"
lot,~~,lot,"['of', 'boy', 'lot', 'lazy', 'lit', 'log', 'kit', 'lots', 'loth', 'lost']"
luck,~~,luck,"['rock', 'knock', 'luck', 'lock', 'lick', 'lack', 'lucky', 'kick', 'pluck', 'cluck']"
m,~~,m,"['on', 'son', 'new', 'm', 'n', 'mg', 'ma', 'mm', 'ml', 'mo']"
ma,~~,ma,"['am', 'ma', 'mo', 'mu', 'me', 'mea', 'm', 'map', 'mar', 'mat']"
made,~~,made,"['are', 'had', 'have', 'made', 'may', 'mode', 'mate', 'see', 'mace', 'makde']"
makes,~~,makes,"['pokes', 'make', 'takes', 'makes', 'males', 'asked', 'makers', 'makest', 'naked', 'mules']"
male,~~,male,"['move', 'male', 'name', 'make', 'mule', 'mole', 'mala', 'whale', 'males', 'maple']"
man,~~,man,"['hand', 'a', 'and', 'man', 'men', 'any', 'mon', 'an', 'mah', 'main']"
many,~~,many,"['baby', 'many', 'mane', 'mony', 'manye', 'mpany', 'may', 'man', 'manly', 'nant']"
marry,~~,marry,"['try', 'marry', 'merry', 'marre', 'marr', 'maty', 'martyr', 'mare', 'mart', 'nary']"
mate,~~,mate,"['rate', 'mate', 'maye', 'mare', 'nate', 'mute', 'maty', 'mote', 'mete', 'made']"
may,~~,may,"['buy', 'make', 'not', 'say', 'may', 'mat', 'nay', 'mai', 'mah', 'maty']"
me,~~,me,"['a', 'the', 'in', 'me', 'my', 'ne', 'one', 'ma', 'mu', 'he']"
me,~~,me,"['the', 'her', 'my', 'a', 's', 'me', 'ne', 'ma', 'mu', 'mea']"
me,~~,me,"['a', 'the', 'on', 'some', 'me', 'ne', 'ma', 'mu', 'my', 'mea']"
me,~~,me,"['the', 'a', 'her', 'me', 'net', 'by', 'an', 'no', 'ne', 'ma']"
me,~~,me,"['a', 'home', 'the', 'in', 'on', 'me', 'ne', 'ma', 'mu', 'my']"
me,~~,me,"['the', 'a', 'on', 'me', 'ne', 'ma', 'mu', 'my', 'mea', 'mem']"
me,~~,me,"['a', 'on', 'came', 'me', 'ne', 'ma', 'mu', 'my', 'mea', 'mem']"
me,~~,me,"['the', 'a', 'and', 'her', 'me', 'men', 'in', 's', 'ne', 'ma']"
me,~~,me,"['any', 'the', 'we', 'me', 'ne', 'ma', 'mu', 'my', 'mea', 'mem']"
me,~~,me,"['he', 'the', 'make', 'me', 'a', 'my', 'made', 'ne', 'ma', 'mu']"
me,~~,me,"['the', 'and', 'a', 'me', 'ne', 'ma', 'mu', 'my', 'mea', 'mem']"
me,~~,me,"['a', 'the', 'my', 'on', 'me', 'ne', 'ma', 'mu', 'mea', 'mem']"
me,~~,me,"['and', 'in', 'the', 'my', 'me', 'he', 'be', 'a', 'ne', 'm']"
me,~~,me,"['a', 'and', 'her', 'the', 'he', 'she', 'me', 'ne', 'ma', 'mu']"
me,~~,me,"['the', 'a', 'and', 'me', 'in', 'her', 'my', 'men', 'ne', 'ma']"
me,~~,me,"['the', 'and', 'my', 'me', 'a', 'her', 'no', 'ne', 'ma', 'mu']"
me,~~,me,"['the', 'be', 'make', 'me', 'a', 'my', 'and', 'her', 'ne', 'ma']"
me,~~,me,"['a', 'the', 'in', 'on', 'any', 'my', 'one', 'me', 'ne', 'ma']"
me,~~,me,"['the', 'a', 'her', 'me', 'one', 'and', 'an', 'ne', 'ma', 'mu']"
meal,~~,meal,"['me', 'make', 'meal', 'meals', 'nearly', 'mean', 'metal', 'meek', 'mea', 'mealy']"
men,~~,men,"['ban', 'he', 'women', 'man', 'men', 'mama', 'mind', 'mem', 'when', 'myn']"
met,~~,met,"['he', 'met', 'net', 'but', 'mat', 'may', 'meet', 'ment', 'mete', 'mt']"
met,~~,met,"['had', 'kept', 'but', 'sat', 'put', 'set', 'met', 'made', 'may', 'net']"
met,~~,met,"['not', 'but', 'it', 'made', 'kept', 'met', 'net', 'mat', 'yet', 'one']"
mice,~~,mice,"['once', 'mice', 'now', 'nice', 'mica', 'more', 'mince', 'move', 'muse', 'nise']"
mill,~~,mill,"['dell', 'till', 'mill', 'sell', 'smell', 'bill', 'hill', 'hills', 'milk', 'skill']"
mind,~~,mind,"['minds', 'meane', 'if', 'send', 'mend', 'find', 'mind', 'mee', 'mint', 'mine']"
mole,~~,mole,"['more', 'mole', 'mile', 'mule', 'male', 'mold', 'old', 'moles', 'moe', 'hole']"
mother,~~,mother,"['moth', 'miner', 'hither', 'father', 'gather', 'mother', 'mortar', 'thee', 'mothers', 'higher']"
mother's,~~,mother's,"['mother', 'mothers', 'mother's', 'mothers'', 'mothered', 'motets', 'mither', 'northers']"
motor,~~,motor,"['note', 'motor', 'motors', 'moor', 'mayor', 'more', 'motif', 'mote', 'moot', 'notice']"
mouse,~~,mouse,"['house', 'mouse', 'mousy', 'moose', 'mouser', 'moue', 'muse', 'noyse', 'noise', 'moode']"
mouse,~~,mouse,"['made', 'use', 'cause', 'house', 'mouse', 'noise', 'pause', 'mousy', 'moose', 'houses']"
mouse,~~,mouse,"['made', 'use', 'cause', 'house', 'mouse', 'noise', 'pause', 'mousy', 'moose', 'houses']"
move,~~,move,"['have', 'love', 'give', 'now', 'move', 'make', 'moved', 'mover', 'moves', 'mice']"
mud,~~,mud,"['of', 'mud', 'and', 'mid', 'mad', 'mu', 'mis', 'had', 'nod', 'nut']"
mum,~~,mum,"['name', 'man', 'mum', 'mind', 'mem', 'mom', 'men', 'mm', 'mu', 'myn']"
mum,~~,mum,"['mind', 'mum', 'mem', 'mom', 'in', 'mm', 'mu', 'myn', 'mums', 'min']"
mum,~~,mum,"['in', 'mum', 'on', 'mem', 'mom', 'mm', 'mu', 'myn', 'mums', 'min']"
mum,~~,mum,"['mln', 'mum', 'man', 'mem', 'mom', 'mm', 'mu', 'myn', 'mums', 'min']"
mum,~~,mum,"['in', 'mum', 'mem', 'mom', 'my', 'mm', 'mu', 'myn', 'mums', 'min']"
mum,~~,mum,"['name', 'mind', 'mum', 'much', 'mem', 'mom', 'mm', 'mu', 'myn', 'mums']"
my,~~,my,"['to', 'he', 'in', 'my', 'mu', 'mt', 'ny', 'me', 'm', 'may']"
my,~~,my,"['me', 'no', 'much', 'my', 'mu', 'mt', 'ny', 'm', 'may', 'myn']"
my,~~,my,"['up', 'not', 'in', 'only', 'my', 'to', 'at', 'on', 'one', 'mu']"
my,~~,my,"['it', 'on', 'up', 'my', 'mu', 'mt', 'ny', 'me', 'm', 'may']"
my,~~,my,"['at', 'in', 'on', 'by', 'my', 'mu', 'mt', 'ny', 'me', 'm']"
my,~~,my,"['he', 'to', 'no', 'my', 'mu', 'mt', 'ny', 'me', 'm', 'may']"
my,~~,my,"['in', 'he', 'may', 'my', 'mu', 'mt', 'ny', 'to', 'me', 'm']"
my,~~,my,"['it', 'in', 'up', 'my', 'mu', 'mt', 'ny', 'me', 'm', 'may']"
my,~~,my,"['he', 'to', 'in', 'my', 'me', 'mu', 'mt', 'ny', 'only', 'it']"
my,~~,my,"['to', 'he', 'in', 'my', 'mu', 'mt', 'ny', 'ye', 'me', 'by']"
my,~~,my,"['in', 'to', 'by', 'my', 'he', 'mu', 'mt', 'ny', 'me', 'it']"
my,~~,my,"['not', 'to', 'no', 'my', 'mu', 'mt', 'ny', 'me', 'm', 'may']"
my,~~,my,"['one', 'to', 'we', 'my', 'mu', 'mt', 'ny', 'me', 'm', 'may']"
my,~~,my,"['in', 'on', 'to', 'my', 'mu', 'mt', 'ny', 'me', 'by', 'm']"
my,~~,my,"['it', 'me', 'on', 'my', 'in', 'to', 'an', 'up', 'any', 'mu']"
my,~~,my,"['in', 'no', 'at', 'not', 'to', 'only', 'am', 'my', 'one', 'much']"
my,~~,my,"['he', 'to', 'no', 'my', 'mu', 'mt', 'ny', 'me', 'm', 'may']"
my,~~,my,"['not', 'me', 'in', 'to', 'my', 'mu', 'mt', 'ny', 'no', 'on']"
my,~~,my,"['to', 'in', 'he', 'my', 'mu', 'mt', 'ny', 'me', 'm', 'may']"
my,~~,my,"['no', 'not', 'it', 'my', 'an', 'in', 'one', 'mu', 'mt', 'ny']"
my,~~,my,"['it', 'he', 'to', 'my', 'in', 'mu', 'mt', 'ny', 'me', 'm']"
my,~~,my,"['he', 'ye', 'no', 'my', 'mu', 'mt', 'ny', 'me', 'm', 'may']"
my,~~,my,"['he', 'it', 'to', 'we', 'my', 'mu', 'mt', 'ny', 'ye', 'at']"
my,~~,my,"['up', 'he', 'it', 'lt', 'in', 'my', 'one', 'by', 'at', 'only']"
my,~~,my,"['it', 'me', 'us', 'my', 'in', 'mu', 'mt', 'ny', 'to', 'm']"
name,~~,name,"['and', 'name', 'bame', 'mame', 'made', 'be', 'bane', 'mane', 'named', 'names']"
name,~~,name,"['and', 'name', 'now', 'bame', 'mame', 'bane', 'mane', 'named', 'names', 'nam']"
name,~~,name,"['and', 'name', 'bame', 'mame', 'came', 'bane', 'mane', 'named', 'names', 'nam']"
nearly,~~,nearly,"['near', 'nearly', 'neatly', 'narly', 'mealy', 'nestle', 'neerely', 'nearby', 'beastly', 'meaty']"
nest,~~,nest,"['but', 'at', 'nest', 'best', 'neat', 'next', 'newt', 'beat', 'meat', 'near']"
nice,~~,nice,"['new', 'nice', 'mice', 'nise', 'niche', 'nicer', 'niece', 'nie', 'mica', 'nose']"
nice,~~,nice,"['his', 'nice', 'mice', 'nise', 'niche', 'nicer', 'niece', 'nie', 'mica', 'nose']"
nice,~~,nice,"['no', 'nice', 'never', 'mice', 'nise', 'niche', 'nicer', 'niece', 'nie', 'mica']"
no,~~,no,"['is', 'it', 'had', 'no', 'his', 'bo', 'mo', 'bi', 'no.', 'non']"
no,~~,no,"['to', 'in', 'into', 'unto', 'no', 'bo', 'mo', 'bi', 'no.', 'non']"
no,~~,no,"['a', 'not', 'how', 'so', 'no', 'in', 'to', 'now', 'bo', 'mo']"
no,~~,no,"['a', 'not', 'who', 'it', 'no', 'in', 'to', 'so', 'now', 'boy']"
no,~~,no,"['huh', 'if', 'now', 'no', 'bo', 'mo', 'not', 'go', 'do', 'a']"
no,~~,no,"['unto', 'to', 'it', 'in', 'no', 'bo', 'mo', 'on', 'not', 'but']"
no,~~,no,"['a', 'it', 'of', 'in', 'to', 'him', 'into', 'my', 'no', 'so']"
not,~~,not,"['go', 't', 'only', 'not', 'no', 'mot', 'nor', 'nod', 'nut', 'boy']"
not,~~,not,"['of', 'that', 'about', 'not', 'mot', 'nor', 'nod', 'nut', 'boy', 'bit']"
november,~~,november,"['bomber', 'november', 'member']"
november,~~,november,"['bomber', 'november', 'member']"
now,~~,now,"['is', 'he', 'as', 'now', 'bow', 'mow', 'nos', 'moe', 'no', 'nie']"
now,~~,now,"['as', 'be', 'know', 'now', 'how', 'bow', 'mow', 'known', 'nos', 'moe']"
o,~~,o,"['to', 'so', 'is', 'you', 'it', 'of', 'a', 'in', 'o', 'now']"
o,~~,o,"['to', 'of', 'in', 'his', 'do', 'o', 'i', 'a', 'u', 'you']"
o,~~,o,"['a', 'of', 'o', 'is', 'to', 'lt', 'i', 'u', 'it', 'on']"
of,~~,of,"['as', 'and', 'for', 'to', 'd', 'go', 'of', 'if', 'op', 'or']"
of,~~,of,"['and', 'in', 'a', 'of', 'is', 'if', 'op', 'or', 'ov', 'off']"
of,~~,of,"['in', 'for', 'if', 'to', 'up', 'at', 'of', 'op', 'or', 'ov']"
of,~~,of,"['not', 'it', 'so', 'of', 'and', 'to', 'for', 'a', 'in', 'if']"
of,~~,of,"['to', 'd', 'go', 'of', 'if', 'op', 'or', 'ov', 'off', 'ofd']"
off,~~,off,"['if', 'off', 'ofd', 'of', 'offs', 'odd', 'oft', 'org', 'ord', 'add']"
oh,~~,oh,"['he', 'to', 'oh', 'ah', 'uh', 'on', 'ij', 'oho', 'o', 'oth']"
oh,~~,oh,"['of', 'to', 'and', 'he', 'in', 'it', 'oh', 'is', 'a', 'ah']"
oh,~~,oh,"['to', 'and', 'in', 'with', 'of', 'at', 'oh', 'ah', 'uh', 'he']"
oh,~~,oh,"['of', 'and', 'in', 'on', 'it', 'oh', 'if', 'ah', 'uh', 'ij']"
oh,~~,oh,"['and', 'of', 'in', 'to', 'oh', 'at', 'a', 'or', 'ah', 'uh']"
old,~~,old,"['good', 'old', 'ole', 'olde', 'ould', 'ol', 'oks', 'olds', 'als', 'ult']"
old,~~,old,"['and', 'of', 'is', 'old', 'ole', 'olde', 'ould', 'ol', 'oks', 'olds']"
old,~~,old,"['is', 'did', 'old', 'ole', 'olde', 'ould', 'ol', 'oks', 'olds', 'als']"
old,~~,old,"['good', 'old', 'of', 'ole', 'olde', 'ould', 'ol', 'oks', 'olds', 'als']"
old,~~,old,"['at', 'of', 'and', 'told', 'or', 'as', 'is', 'mid', 'old', 'half']"
old,~~,old,"['and', 'old', 'ole', 'olde', 'ould', 'ol', 'oks', 'olds', 'als', 'ult']"
old,~~,old,"['and', 'old', 'ole', 'olde', 'ould', 'ol', 'oks', 'olds', 'als', 'ult']"
old,~~,old,"['able', 'apt', 'colt', 'aid', 'and', 'bid', 'kid', 'of', 'world', 'old']"
old,~~,old,"['and', 'old', 'ole', 'olde', 'ould', 'ol', 'oks', 'olds', 'als', 'ult']"
older,~~,older,"['over', 'older', 'olde', 'oder', 'alter', 'oldest', 'ulcer', 'aider', 'odder', 'olden']"
on,~~,on,"['and', 'in', 'of', 'to', 'on', 'ob', 'an', 'un', 'by', 'oh']"
on,~~,on,"['in', 'and', 'to', 'of', 'at', 'on', 'a', 'ob', 'do', 'an']"
on,~~,on,"['and', 'in', 'to', 'ring', 'a', 'on', 'ob', 'an', 'un', 'oh']"
on,~~,on,"['and', 'to', 'in', 'at', 'on', 'ob', 'an', 'un', 'oh', 'aon']"
on,~~,on,"['and', 'in', 'as', 'can', 'upon', 'on', 'ob', 'an', 'un', 'oh']"
on,~~,on,"['a', 'in', 'an', 'on', 'to', 'and', 'one', 'so', 'ob', 'of']"
on,~~,on,"['of', 'and', 'in', 'as', 'be', 'on', 'ob', 'an', 'un', 'oh']"
on,~~,on,"['be', 'of', 'and', 'in', 'as', 'on', 'ob', 'an', 'un', 'oh']"
on,~~,on,"['and', 'in', 'is', 'on', 'to', 'or', 'of', 'ob', 'an', 'un']"
on,~~,on,"['of', 'in', 'and', 'is', 'to', 'it', 'on', 'one', 'ob', 'an']"
on,~~,on,"['up', 'it', 'a', 'him', 'and', 'on', 'in', 'ob', 'an', 'un']"
on,~~,on,"['is', 'in', 'a', 'as', 'on', 'ob', 'an', 'un', 'oh', 'aon']"
on,~~,on,"['a', 'it', 'him', 'up', 'on', 'in', 'any', 'an', 'to', 'of']"
on,~~,on,"['to', 'of', 'or', 'into', 'can', 'home', 'on', 'in', 'ob', 'an']"
on,~~,on,"['in', 'to', 'go', 'do', 'from', 'on', 'by', 'ob', 'an', 'un']"
on,~~,on,"['of', 'and', 'go', 'in', 'to', 'on', 'ran', 'ob', 'an', 'un']"
on,~~,on,"['of', 'and', 'in', 'to', 'on', 'is', 'ob', 'an', 'un', 'oh']"
on,~~,on,"['to', 'mln', 'a', 'and', 'an', 'it', 'one', 'on', 'in', 'ob']"
on,~~,on,"['a', 'in', 'an', 'on', 'one', 'done', 'ob', 'of', 'only', 'un']"
on,~~,on,"['a', 'in', 'to', 'it', 'into', 'on', 'him', 'by', 'up', 'ob']"
on,~~,on,"['and', 'to', 'as', 'it', 'my', 'on', 'in', 'ob', 'an', 'un']"
on,~~,on,"['in', 'and', 'at', 'him', 'a', 'one', 'or', 'no', 'on', 'ob']"
on,~~,on,"['it', 'and', 'of', 'my', 'on', 'him', 'to', 'in', 'ob', 'an']"
on,~~,on,"['home', 'and', 'in', 'go', 'of', 'oh', 'can', 'am', 'on', 'don']"
on,~~,on,"['and', 'to', 'from', 'on', 'in', 'ob', 'an', 'un', 'oh', 'aon']"
on,~~,on,"['in', 'into', 'of', 'or', 'on', 'ob', 'an', 'un', 'oh', 'aon']"
on,~~,on,"['in', 'arm', 'into', 'on', 'ob', 'an', 'un', 'oh', 'aon', 'ion']"
on,~~,on,"['and', 'is', 'in', 'on', 'to', 'a', 'ob', 'an', 'un', 'can']"
on,~~,on,"['of', 'to', 'and', 'from', 'into', 'in', 'on', 'a', 'ob', 'one']"
on,~~,on,"['into', 'up', 'is', 'on', 'in', 'ob', 'an', 'un', 'oh', 'aon']"
on,~~,on,"['in', 'to', 'done', 'on', 'ob', 'an', 'un', 'oh', 'aon', 'ion']"
on,~~,on,"['a', 'from', 'my', 'an', 'at', 'on', 'to', 'mind', 'as', 'in']"
on,~~,on,"['and', 'as', 'open', 'on', 'in', 'ob', 'an', 'un', 'oh', 'aon']"
on,~~,on,"['to', 'and', 'in', 'from', 'on', 'ob', 'an', 'un', 'oh', 'aon']"
on,~~,on,"['in', 'a', 'to', 'so', 'on', 'ob', 'an', 'un', 'oh', 'aon']"
on,~~,on,"['of', 'and', 'to', 'in', 'on', 'from', 'as', 'into', 'by', 'or']"
on,~~,on,"['of', 'and', 'to', 'in', 'on', 'from', 'into', 'by', 'or', 'one']"
on,~~,on,"['down', 'to', 'and', 'home', 'on', 'in', 'ob', 'an', 'un', 'oh']"
on,~~,on,"['in', 'to', 'and', 'of', 'as', 'up', 'down', 'long', 'on', 'ob']"
on,~~,on,"['of', 'to', 'and', 'from', 'into', 'in', 'on', 'a', 'at', 'by']"
on,~~,on,"['and', 'in', 'to', 'a', 'on', 'as', 'of', 'ob', 'or', 'at']"
on,~~,on,"['no', 'as', 'and', 'in', 'my', 'am', 'on', 'one', 'don', 'can']"
one,~~,one,"['and', 'he', 'or', 'in', 'for', 'one', 'on', 'ine', 'une', 'ones']"
one,~~,one,"['or', 'in', 'of', 'and', 'for', 'he', 'one', 'ine', 'une', 'ones']"
one,~~,one,"['am', 'only', 'in', 'of', 'for', 'none', 'one', 'an', 'and', 'now']"
one,~~,one,"['only', 'in', 'some', 'one', 'how', 'by', 'any', 'and', 'an', 'on']"
one,~~,one,"['of', 'and', 'an', 'one', 'ine', 'une', 'ones', 'owne', 'on', 'once']"
one,~~,one,"['and', 'of', 'in', 'on', 'or', 'one', 'for', 'he', 'ine', 'une']"
one,~~,one,"['our', 'gone', 'time', 'one', 'ine', 'une', 'ones', 'owne', 'on', 'once']"
one,~~,one,"['and', 'in', 'he', 'one', 'ine', 'une', 'ones', 'owne', 'on', 'once']"
one,~~,one,"['and', 'he', 'in', 'be', 'or', 'one', 'on', 'by', 'ine', 'une']"
one,~~,one,"['and', 'on', 'of', 'one', 'in', 'he', 'ine', 'une', 'or', 'some']"
one,~~,one,"['in', 'on', 'by', 'one', 'ine', 'une', 'ones', 'owne', 'once', 'one-']"
one,~~,one,"['and', 'in', 'for', 'one', 'he', 'ine', 'une', 'or', 'ones', 'owne']"
one,~~,one,"['and', 'in', 'for', 'now', 'one', 'ine', 'une', 'came', 'ones', 'owne']"
one,~~,one,"['or', 'and', 'only', 'are', 'unit', 'he', 'one', 'ine', 'une', 'ones']"
one,~~,one,"['of', 'came', 'and', 'one', 'ine', 'une', 'ones', 'owne', 'on', 'once']"
one,~~,one,"['of', 'and', 'tie', 'one', 'robe', 'pony', 'ine', 'une', 'ones', 'owne']"
one,~~,one,"['on', 'in', 'my', 'one', 'ine', 'une', 'ones', 'owne', 'once', 'one-']"
one,~~,one,"['use', 'time', 'or', 'fund', 'mind', 'one', 'sons', 'ine', 'hand', 'une']"
open,~~,open,"['in', 'open', 'opens', 'ope', 'on', 'own', 'ape', 'aspen', 'opine', 'often']"
or,~~,or,"['to', 'for', 'nor', 'at', 'is', 'or', 'ot', 'ar', 'of', 'it']"
or,~~,or,"['a', 'in', 'but', 'nose', 'or', 'ot', 'ar', 'of', 'it', 'our']"
or,~~,or,"['to', 'for', 'a', 'in', 'of', 'or', 'as', 'at', 'it', 'not']"
or,~~,or,"['to', 'at', 'in', 'or', 'ot', 'ar', 'of', 'as', 'it', 'our']"
or,~~,or,"['not', 'to', 'a', 'or', 'ot', 'ar', 'of', 'it', 'our', 'o']"
or,~~,or,"['of', 'to', 'are', 'as', 'for', 'in', 'but', 'or', 'ot', 'go']"
or,~~,or,"['of', 'in', 'to', 'or', 'for', 'is', 'but', 'at', 'ot', 'he']"
or,~~,or,"['got', 'car', 'come', 'are', 'or', 'of', 'for', 'to', 'at', 'if']"
or,~~,or,"['it', 'a', 'to', 'me', 'your', 'or', 'for', 'one', 'ot', 'ar']"
or,~~,or,"['a', 'it', 'an', 'or', 'ot', 'ar', 'of', 'our', 'o', 'org']"
or,~~,or,"['nor', 'hat', 'old', 'or', 'ot', 'ar', 'of', 'it', 'our', 'o']"
or,~~,or,"['on', 'am', 'in', 'no', 'or', 'ot', 'ar', 'of', 'it', 'our']"
or,~~,or,"['of', 'as', 'for', 'or', 'hair', 'ot', 'ar', 'corn', 'it', 'our']"
our,~~,our,"['it', 'you', 'not', 'our', 'of', 'your', 'out', 'oar', 'or', 'four']"
out,~~,out,"['not', 'set', 'hot', 'out', 'our', 'oud', 'oat', 'iit', 'outs', 'oust']"
out,~~,out,"['of', 'it', 'about', 'you', 'out', 'our', 'oud', 'oat', 'but', 'at']"
out,~~,out,"['it', 'you', 'at', 'out', 'our', 'yours', 'oud', 'oat', 'iit', 'outs']"
out,~~,out,"['it', 'or', 'at', 'of', 'but', 'about', 'out', 'our', 'oud', 'oat']"
out,~~,out,"['it', 'you', 'at', 'out', 'yours', 'our', 'oud', 'oat', 'wet', 'iit']"
out,~~,out,"['it', 'about', 'over', 'at', 'out', 'our', 'oud', 'oat', 'iit', 'outs']"
owns,~~,owns,"['in', 'owns', 'own', 'owne', 'opens', 'owned', 'ovens', 'omens', 'ownnd', 'owes']"
park,~~,park,"['patrol', 'for', 'at', 'arc', 'form', 'spar', 'pot', 'park', 'porch', 'ark']"
park,~~,park,"['patrol', 'for', 'at', 'arc', 'form', 'spar', 'pot', 'park', 'porch', 'ark']"
pass,~~,pass,"['loss', 'pass', 'pads', 'paws', 'passe', 'pas', 'pods', 'peas', 'fuss', 'pecs']"
passing,~~,passing,"['easing', 'leasing', 'adding', 'passing', 'padding', 'fussing', 'passion', 'fading', 'pacing', 'pressing']"
pay,~~,pay,"['per', 'pay', 'pat', 'at', 'play', 'pays', 'pray', 'pa', 'paid', 'fat']"
picture,~~,picture,"['posture', 'picture', 'pictures', 'pictured', 'fixture', 'puncture', 'future', 'fixtures', 'postures', 'figure']"
pig,~~,pig,"['of', 'pig', 'fig', 'peg', 'pit', 'puh', 'pg', 'pi', 'prig', 'pigs']"
pig,~~,pig,"['in', 'pig', 'it', 'pain', 'fig', 'peg', 'pit', 'puh', 'pg', 'pi']"
pigs,~~,pigs,"['is', 'pigs', 'pins', 'figs', 'pegs', 'pits', 'pig', 'fogs', 'pubs', 'pots']"
pile,~~,pile,"['polite', 'pile', 'pike', 'pole', 'file', 'poke', 'piles', 'piled', 'pie', 'puke']"
plans,~~,plans,"['and', 'plans', 'planks', 'planes', 'pans', 'plan', 'plains', 'plants', 'plan's', 'plums']"
plays,~~,plays,"['play', 'plays', 'playd', 'pays', 'playes', 'play's', 'flats', 'plots', 'plaid', 'pleats']"
poem,~~,poem,"['for', 'poem', 'poems', 'proem', 'form', 'parm', 'foam', 'pen', 'plum', 'pie']"
